endTime,artistName,trackName,msPlayed
2019-12-13 03:13,Anderson .Paak,King James,197994
2019-12-13 03:17,Tennis,In the Morning I'll Be Better,4969
2019-12-13 03:17,Anderson .Paak,Winners Circle,209202
2019-12-13 03:20,Saba,Photosynthesis,201733
2019-12-13 03:22,William Bolton,Keep Me Waiting,125670
2019-12-13 03:26,Tennis,No Exit,234307
2019-12-13 03:29,GoldLink,Herside Story,183760
2019-12-13 03:34,Mac Miller,What's the Use?,288640
2019-12-13 03:34,Maroon 5,What Lovers Do (feat. SZA),27450
2019-12-13 03:39,Real Estate,Darling,260387
2019-12-13 03:42,GoldLink,Summatime (feat. Wale & Radiant Children),226165
2019-12-13 03:46,"Tyler, The Creator",IGOR'S THEME,200693
2019-12-13 03:49,Mac Miller,Hurt Feelings,192073
2019-12-13 04:47,Young Franco,Otherside,6357
2019-12-13 04:50,Masego,Sunday Vibes,226168
2019-12-13 04:54,Young Franco,Talkin’ Bout It,240321
2019-12-13 04:58,Noname,"Shadow Man (feat. Phoelix, Smino & Saba)",214623
2019-12-13 05:18,Young Franco,Drop Your Love (feat. Dirty Radio),3997
2019-12-13 05:18,Tennis,My Emotions Are Blinding,8563
2019-12-13 05:18,Anderson .Paak,Jet Black (feat. Brandy),762
2019-12-13 05:19,Hermitude,Hijinx,11424
2019-12-13 05:20,Young Franco,Drop Your Love (feat. Dirty Radio),115853
2019-12-13 05:23,ODESZA,Sun Models (feat. Madelyn Grant),160000
2019-12-13 05:27,Flight Facilities,Crave You,234787
2019-12-13 05:30,Saje,Lost Tonight,198912
2019-12-13 05:35,Låpsley,Love Is Blind (Sam Gellaitry Remix),259415
2019-12-13 05:39,KAYTRANADA,DESPITE THE WEATHER,11214
2019-12-13 05:39,Selena Gomez,Good For You - Nebbra Remix,241707
2019-12-13 05:42,Giraffage,Feels,190759
2019-12-13 05:46,FKJ,Better Give U Up,256800
2019-12-13 05:47,Phantogram,Fall In Love,7203
2019-12-13 05:47,Noirre,309,4262
2019-12-13 05:47,San Holo,Fly,9242
2019-12-13 05:50,Bonus Points,Creamsicle,215348
2019-12-13 05:52,Sam Gellaitry,LONG DISTANCE,74366
2019-12-13 05:55,KRANE,Daylight,208500
2019-12-13 05:59,FKJ,Joy,238890
2019-12-13 06:02,Swell,I'm Sorry,157333
2019-12-13 06:05,Flume,Ezra,217188
2019-12-13 06:07,Jerry Folk,Stanley,133091
2019-12-13 06:13,Viceroy,Back at the Start (Niteppl Remix) [feat. K. Flay],335857
2019-12-13 06:17,Jack Ü,To Ü (feat. AlunaGeorge) - Oliver Remix,231383
2019-12-13 06:19,MishCatt,Another Dimension - Miike Snow Remix,116180
2019-12-13 16:11,KAYTRANADA,10%,261573
2019-12-13 16:13,Louis The Child,Here Comes A Feeling (with Naomi Wild & Couros),3105
2019-12-13 16:13,Busty and the Bass,"Summer (from St. James United Church, Montreal, Quebec)",27164
2019-12-13 16:13,Maroon 5,Memories - Dillon Francis Remix,109766
2019-12-13 22:48,Free Nationals,RENE,14052
2019-12-13 22:48,Free Nationals,Gidget,219243
2019-12-13 22:50,Free Nationals,Obituaries,140611
2019-12-13 22:52,Free Nationals,Beauty & Essex,86807
2019-12-13 22:54,Free Nationals,On Sight,134266
2019-12-13 23:00,Free Nationals,Shibuya,196872
2019-12-13 23:03,Free Nationals,Apartment,184573
2019-12-13 23:07,Free Nationals,RENE,1520
2019-12-13 23:07,Free Nationals,Gidget,219243
2019-12-14 00:20,Free Nationals,RENE,148721
2019-12-14 00:23,Free Nationals,Time,158030
2019-12-14 00:25,Free Nationals,Cut Me a Break,116944
2019-12-14 00:41,Free Nationals,Eternal Light,112791
2019-12-14 00:45,Local Natives,When Am I Gonna Lose You - Overcoats Version,226534
2019-12-14 00:45,Riff Raff,Husky,5664
2019-12-14 00:48,Cold War Kids,Complainer - DJDS Remix,203453
2019-12-14 00:51,Engelwood,Lovin' is Everywhere,174387
2019-12-14 00:55,Sam I,Used to Be My Homie - Salva Remix,220990
2019-12-14 00:58,NoMBe,Paint California,207133
2019-12-14 00:58,STRFKR,Rawnald Gregory Erickson the Second - Live,13147
2019-12-14 01:02,Felly,Wood v2,244800
2019-12-14 01:05,Com Truise,Persuasion System - Anastasia Kristensen Remix,2828
2019-12-14 01:05,Jonah Yano,Key to Love (Is Understanding) feat. Jonah Yano,128539
2019-12-14 01:18,Tame Impala,Posthumous Forgiveness,171078
2019-12-14 02:54,Electric Guest,Waves,6458
2019-12-14 02:54,The Shins,New Slang (When You Notice The Stripes),1493
2019-12-14 02:54,Atmosphere,Lovely (feat. Nikki Jean),21252
2019-12-14 02:57,Electric Guest,I Got The Money,196880
2019-12-14 02:58,Electric Guest,Back On Me,3131
2019-12-14 03:01,Electric Guest,Play With Me,215933
2019-12-14 03:05,Electric Guest,Max It Out,3972
2019-12-14 03:05,Electric Guest,Birthday,218826
2019-12-14 04:27,Tennis,In the Morning I'll Be Better,1838
2019-12-14 04:31,Marius,Lucky,199946
2019-12-14 05:04,88-Keys,That's Life (feat. Mac Miller & Sia),27383
2019-12-14 06:09,Local Natives,Dark Days,1062
2019-12-14 06:09,Moon Boots,I Want Your Attention,272192
2019-12-14 06:13,Mick Jenkins,Communicate (feat. Ravyn Lenae),237045
2019-12-14 06:13,"Tyler, The Creator",NEW MAGIC WAND,25029
2019-12-14 06:13,Slum Village,"Scheming (feat. J Dilla, Posdnuos & Phife)",11925
2019-12-14 06:13,Young Franco,Talkin’ Bout It,2281
2019-12-14 06:13,Client Liaison,Where Do We Belong,2203
2019-12-14 06:13,Tennis,Fields of Blue,2407
2019-12-14 06:14,Kid Cudi,Mojo So Dope,2011
2019-12-14 06:14,Lostboycrow,Orange Juice,1053
2019-12-14 06:14,Hayden James,Just Friends,3165
2019-12-14 06:16,Noname,Song 32,119166
2019-12-14 18:04,Electric Guest,Dollar,208746
2019-12-14 18:08,Electric Guest,1 4 Me,186706
2019-12-14 18:11,Electric Guest,More,221706
2019-12-14 18:12,Electric Guest,24-7,50138
2019-12-14 19:56,Electric Guest,Freestyle,8584
2019-12-14 19:56,Electric Guest,24-7,4395
2019-12-14 19:59,Electric Guest,24-7,208933
2019-12-14 20:00,Electric Guest,Freestyle,12197
2019-12-14 20:00,Electric Guest,More,1072
2019-12-14 20:00,Electric Guest,24-7,0
2019-12-14 20:03,Electric Guest,1 4 Me,186706
2019-12-14 20:13,Electric Guest,More,6237
2019-12-14 20:17,Big Wild,No Words,1890
2019-12-14 20:17,"Tyler, The Creator",EARFQUAKE,190066
2019-12-14 20:17,Injury Reserve,Gravy n’ Biscuits,991
2019-12-14 20:17,Masego,Sunday Vibes,2274
2019-12-14 20:18,Big Wild,No Words,58900
2019-12-14 20:20,Injury Reserve,Gravy n’ Biscuits,128333
2019-12-14 20:20,"Tyler, The Creator",IGOR'S THEME,1056
2019-12-14 20:24,"Tyler, The Creator",RUNNING OUT OF TIME,1184
2019-12-14 20:24,Fleetwood Mac,Everywhere - 2017 Remaster,1826
2019-12-14 20:24,Giraffage,Maybes - RAC Mix,5564
2019-12-14 20:24,Tame Impala,Patience,3674
2019-12-14 20:24,Anderson .Paak,Jet Black (feat. Brandy),208379
2019-12-14 20:28,Mac Miller,Hurt Feelings,245640
2019-12-14 20:28,Real Estate,Saturday,3078
2019-12-14 20:32,Anderson .Paak,Yada Yada,9818
2019-12-14 20:32,Disclosure,Where Angels Fear To Tread,225906
2019-12-14 20:32,Disclosure,Defeated No More,1443
2019-12-14 20:32,Golden Vessel,Shoulders,1852
2019-12-14 20:36,Golden Vessel,Shoulders,200386
2019-12-14 20:59,Disclosure,Defeated No More,334355
2019-12-14 21:02,NoMBe,Freak Like Me,176889
2019-12-14 21:05,Young Franco,Otherside - Two Another Remix,175863
2019-12-14 21:08,The Internet,La Di Da,207013
2019-12-14 21:13,Berhana,Grey Luh,250842
2019-12-14 21:16,Young Franco,Drop Your Love (feat. Dirty Radio),207022
2019-12-14 21:20,William Bolton,Let Me Know,235473
2019-12-14 21:25,Mac Miller,Ladders,287040
2019-12-14 21:27,William Bolton,Keep Me Waiting,1097
2019-12-14 21:27,Flight Facilities,Crave You,146360
2019-12-14 21:27,Anderson .Paak,Come Home (feat. André 3000),101
2019-12-14 21:28,Young Franco,About This Thing,1870
2019-12-14 21:28,Free Nationals,Time,3673
2019-12-14 21:28,Anderson .Paak,Reachin' 2 Much (feat. Lalah Hathaway),1498
2019-12-14 21:28,NASAYA,Orange,65197
2019-12-14 21:28,Big Wild,City of Sound,1085
2019-12-14 21:29,Anderson .Paak,Good Heels (feat. Jazmine Sullivan),1251
2019-12-14 21:29,Buddy,Trouble On Central,2018
2019-12-14 21:29,"Tyler, The Creator",I THINK,1313
2019-12-14 21:32,Schwey,Sh’qweyla,182385
2019-12-14 21:34,Still Woozy,Goodie Bag,132877
2019-12-14 21:37,Steve Lacy,Dark Red,173104
2019-12-14 21:50,Hermitude,Hijinx,9843
2019-12-15 07:43,Electric Guest,Dollar,208746
2019-12-15 07:46,Electric Guest,1 4 Me,186706
2019-12-15 07:50,Electric Guest,More,221706
2019-12-15 07:53,Electric Guest,24-7,208933
2019-12-15 07:57,Electric Guest,Freestyle,242400
2019-12-15 08:01,Electric Guest,I Got The Money,196880
2019-12-15 08:02,Electric Guest,Basic,50851
2019-12-15 08:03,Electric Guest,Get Out,104248
2019-12-15 08:07,Electric Guest,Play With Me,215933
2019-12-15 08:24,Electric Guest,Birthday,64189
2019-12-15 17:47,The Shins,New Slang (When You Notice The Stripes),1649
2019-12-15 17:47,KAYTRANADA,10%,6499
2019-12-15 17:47,Busty and the Bass,"Summer (from St. James United Church, Montreal, Quebec)",2869
2019-12-15 17:47,Maroon 5,Memories - Dillon Francis Remix,149
2019-12-15 17:48,Louis The Child,Here Comes A Feeling (with Naomi Wild & Couros),5255
2019-12-15 17:48,Busty and the Bass,"Summer (from St. James United Church, Montreal, Quebec)",1213
2019-12-15 17:48,Maroon 5,Memories - Dillon Francis Remix,451
2019-12-15 17:49,KAYTRANADA,10%,57716
2019-12-15 17:51,KAYTRANADA,DO IT,132360
2019-12-15 17:55,KAYTRANADA,2 The Music,235280
2019-12-15 17:57,KAYTRANADA,Go DJ,156947
2019-12-15 18:00,KAYTRANADA,Gray Area (feat. Mick Jenkins),139653
2019-12-15 18:01,KAYTRANADA,Puff Lah,113347
2019-12-15 18:05,KAYTRANADA,10%,186680
2019-12-15 18:07,KAYTRANADA,Need It,137707
2019-12-15 18:11,KAYTRANADA,Taste,217320
2019-12-15 18:13,KAYTRANADA,Oh No,167573
2019-12-15 18:16,KAYTRANADA,What You Need,183787
2019-12-15 18:19,KAYTRANADA,Vex Oh (feat. Eight9FLY),162147
2019-12-15 18:22,KAYTRANADA,Scared To Death,153360
2019-12-15 18:25,KAYTRANADA,Freefall,181160
2019-12-15 18:29,KAYTRANADA,Culture,248907
2019-12-15 18:33,KAYTRANADA,The Worst In Me,226720
2019-12-15 18:34,KAYTRANADA,September 21,111880
2019-12-15 18:39,KAYTRANADA,Midsection,289427
2019-12-15 19:26,Electric Guest,Dollar,234160
2019-12-15 19:29,Electric Guest,Freestyle,1467
2019-12-15 19:29,Electric Guest,1 4 Me,186707
2019-12-15 19:29,Electric Guest,More,15147
2019-12-15 19:29,Electric Guest,24-7,165
2019-12-15 19:33,Electric Guest,Freestyle,5278
2019-12-15 19:33,Electric Guest,Play With Me,13909
2019-12-15 19:33,Electric Guest,Basic,565
2019-12-15 19:33,Electric Guest,Get Out,769
2019-12-15 19:33,Electric Guest,24-7,208933
2019-12-15 19:33,Electric Guest,I Got The Money,1563
2019-12-15 19:36,KAYTRANADA,DO IT,132360
2019-12-15 19:40,KAYTRANADA,2 The Music,235141
2019-12-15 19:42,KAYTRANADA,Go DJ,156947
2019-12-15 19:44,KAYTRANADA,Gray Area (feat. Mick Jenkins),119123
2019-12-15 19:48,KAYTRANADA,2 The Music,490
2019-12-15 19:52,KAYTRANADA,2 The Music,235280
2019-12-15 19:52,KAYTRANADA,Go DJ,13893
2019-12-15 19:54,KAYTRANADA,Gray Area (feat. Mick Jenkins),139653
2019-12-15 19:56,KAYTRANADA,10%,13587
2019-12-15 19:56,KAYTRANADA,Puff Lah,113346
2019-12-15 21:51,KAYTRANADA,Need It,7127
2019-12-15 21:51,KAYTRANADA,10%,186680
2019-12-15 21:55,Electric Guest,1 4 Me,21819
2019-12-15 21:55,Electric Guest,Dollar,208746
2019-12-15 21:56,Electric Guest,Zero,11641
2019-12-15 22:11,Electric Guest,Glorious Warrior,211702
2019-12-15 23:40,Electric Guest,Back & Forth,227855
2019-12-15 23:44,Electric Guest,Dear To Me,241480
2019-12-15 23:48,Electric Guest,Oh Devil,217586
2019-12-15 23:51,Electric Guest,Back For Me,201613
2019-12-15 23:51,Electric Guest,See The Light,23554
2019-12-15 23:53,Electric Guest,Over,82000
2019-12-15 23:56,Spin Doctors,Two Princes,0
2019-12-15 23:56,Isaiah Rashad,Heavenly Father,1438
2019-12-15 23:56,Hayden James,Better Together - Happiness Is Wealth Disco Remix,1156
2019-12-15 23:56,Domo Genesis,Coming Back (feat. Mac Miller),161653
2019-12-15 23:56,Saba,Photosynthesis,1915
2019-12-15 23:56,William Bolton,Dream at Night (feat. Dillon Ashton),1066
2019-12-15 23:56,The Wombats,Out of My Head,6594
2019-12-15 23:56,Pusha T,F.I.F.A.,1625
2019-12-15 23:56,Magic City Hippies,Four of a Kind,1024
2019-12-15 23:56,Matchbox Twenty,3AM,1073
2019-12-15 23:57,Bas,Tribe (with J. Cole),63675
2019-12-16 04:11,KAYTRANADA,DO IT,132360
2019-12-16 04:15,KAYTRANADA,2 The Music,235280
2019-12-16 04:15,KAYTRANADA,Go DJ,21797
2019-12-16 04:28,KAYTRANADA,Gray Area (feat. Mick Jenkins),66227
2019-12-16 16:06,Maroon 5,If I Never See Your Face Again,201000
2019-12-16 16:07,Maroon 5,Makes Me Wonder,67859
2019-12-16 16:21,Maroon 5,Not Falling Apart,232968
2019-12-16 17:31,Electric Guest,Glorious Warrior,242760
2019-12-16 17:31,Electric Guest,Back & Forth,17508
2019-12-16 17:35,Electric Guest,Dear To Me,241480
2019-12-16 17:36,Electric Guest,Oh Devil,17701
2019-12-16 17:39,Electric Guest,Freestyle,10000
2019-12-16 17:39,Electric Guest,24-7,208933
2019-12-16 17:39,Electric Guest,I Got The Money,1270
2019-12-16 17:40,Electric Guest,Basic,1014
2019-12-16 17:40,Electric Guest,Get Out,893
